trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-105.63370064500988,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-13.651031821298927,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,11,-5.071933639918417,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,13,-84.60790623196283,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-109.77335966791631,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-20.603918547221767,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-111.63775456978426,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,9,-42.869407603853915,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,8,-48.245164349440316,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",35,0,-153.9787940424711,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-78.24368495881262,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,1,-7.762026345363902,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",35,25,2.3556500514919767,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-70.01284207252313,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,14,5.161837030204419,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,6,10.188709653809006,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-51.18433679997275,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-124.61996996963875,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",25,0,-85.52533614963491,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-17.68894623727367,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-53.320235796683825,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-45.85181237164273,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-116.97552072839429,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,9.038884319910112,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,8,-8.650440017908032,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-4.233989879996905,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",30,0,-99.63383144138672,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-52.99669644982661,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-9.63997530169891,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,12,14.577197497906829,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,4,-29.303457284408886,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,18,-43.620079112378924,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 0}",1
