trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",30,6,-9.172567414441012,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,6,3.881725232712636,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,18,11.48109018751354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,13,14.553895663537201,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,15,20.603948302565133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,15,-34.76204178967446,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",30,20,10.47321396685225,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,18,1.6374761551544996,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",25,17,-30.243553040886766,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,8,19.49757187854411,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",35,19,-11.1816939173249,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,14,11.251118257007526,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,15,12.540030740894831,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,20,12.014028749071988,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",25,16,16.107083603868993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",25,9,28.443321931481666,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",30,22,17.3671983594376,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",20,10,15.657342921369501,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,6,15.516814544019146,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",25,14,18.515666942047055,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",20,12,16.53124824782691,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.04499999999999918}",25,4,-6.419552742089453,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.03999999999999918}",25,20,10.256378526579965,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.034999999999999185}",30,19,13.171747662803593,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.029999999999999184}",25,13,27.561139278793995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,16,7.6639924672781605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,27.968387571482715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,12,16.897418875993896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,14,19.068029555783895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,12,16.85628099547317,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,13.445180266791073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,9.48661031766899,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,20,21.09213689973628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,8,22.568227778139196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,8,35.60501058660927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,19,21.9048058560479,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",30,18,21.52571568647685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,9,23.39545592877039,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",35,21,27.860547856815774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,10,18.756864755930277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",25,15,16.639078111750745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,11,16.793342703482978,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,18,13.87528926644699,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,7,23.566411506138728,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",20,16,8.083407236174331,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
